id,BHS27,BHS29,BHS33,BHS36,BHS40,BHS42,BHS53,BHS58,BIS1,BIS12,BIS2,BIS56,BIS59,BIS72,BIS9,ELK16,ELK17,ELK24,ELK48,ELK49,ELK54,ELK75,BLA20220921.D,BLA20220921.E,NEG20220928.ban,NEG20220928.sa,POS20220928.ban,POS20220928.sa
P157,1,0,0,4,2,1,0,0,0,53,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0
P158,22,0,4,36,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P159,0,0,0,0,0,0,0,0,0,0,3,0,0,52,0,0,0,7,0,0,0,0,0,0,0,0,0,0
P160,0,0,0,0,0,0,0,0,0,37,0,0,0,4,0,4,0,0,7,8,0,0,0,0,0,0,0,0
P161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,31,0,11,0,0,0,0,0,0,0,0
P162,0,0,0,1,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
P163,0,0,0,0,0,0,0,0,0,0,0,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P164,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0
P165,0,0,0,0,0,0,0,0,0,0,0,41,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0
P167,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P168,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P169,1,0,0,4,1,4,2,0,5,1,0,4,1,4,7,0,0,0,3,6,2,0,0,0,0,0,0,0
P170,0,0,0,1,0,0,0,0,0,0,0,2,1,9,3,0,0,0,0,27,1,0,0,0,0,0,0,1
P171,0,0,0,6,0,18,0,0,0,0,0,3,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
P172,0,0,0,18,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
P173,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0
P174,0,0,0,0,0,0,5,12,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P175,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P176,0,0,0,0,0,0,2,0,0,0,0,0,20,11,0,2,0,0,0,0,3,0,0,0,0,0,0,0
P177,0,0,0,0,0,0,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
P178,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
P179,1,0,0,4,0,0,0,0,1,0,0,0,1,5,5,0,15,0,1,3,0,0,0,0,0,0,0,0
P180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0
P181,18,0,1,0,5,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
P182,0,0,1,0,0,0,27,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
P183,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,6,0,14,0,0,0,0,0,0,0
P184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
P185,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,22,3,0,0,0,2,0,0,0,0,0,0,0
P186,1,0,0,1,1,16,7,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P187,2,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0
P189,3,1,0,1,0,0,0,1,1,1,0,0,0,4,3,0,1,1,2,9,0,0,0,0,0,0,0,0
P190,0,0,0,0,0,0,0,0,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P191,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,2,0,4,0,0,0,0,0,0,0
P192,13,0,0,0,7,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
P193,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P194,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
P195,1,0,0,6,0,0,0,0,3,0,0,1,0,2,4,0,4,1,0,1,0,0,0,1,0,0,0,0
P196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0
P197,15,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
P198,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P199,1,0,0,1,1,1,10,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1
P200,0,0,1,5,0,0,0,0,0,1,1,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0
P201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,0,7,0,0,0,0,0,0
P202,1,3,1,1,0,2,0,0,1,0,4,1,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0
P203,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
P204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
P205,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P206,0,0,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P207,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
P208,0,2,0,5,0,2,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,0,0,0,0,0,0
P209,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P210,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0
P211,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
P212,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P213,0,0,0,0,8,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P214,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P215,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0
P216,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P217,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
P219,4,0,0,0,5,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P220,0,0,3,1,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
